"Año";"Periodo";"Número de fallecidos por fecha de defunción"
"2020";"Día 8 de noviembre";"28"
"2020";"Día 9 de noviembre";"41"
"2020";"Día 10 de noviembre";"38"
"2020";"Día 11 de noviembre";"37"
"2020";"Día 12 de noviembre";"35"
"2020";"Día 13 de noviembre";"35"
"2020";"Día 14 de noviembre";"30"
"2020";"Día 15 de noviembre";"37"
"2020";"Día 16 de noviembre";"38"
"2020";"Día 17 de noviembre";"50"
"2020";"Día 18 de noviembre";"32"
"2020";"Día 19 de noviembre";"33"
"2020";"Día 20 de noviembre";"27"
"2020";"Día 21 de noviembre";"29"
"2020";"Día 22 de noviembre";"33"
"2020";"Día 23 de noviembre";"33"
"2020";"Día 24 de noviembre";"36"
"2020";"Día 25 de noviembre";"22"
"2020";"Día 26 de noviembre";"31"
"2020";"Día 27 de noviembre";"23"
"2020";"Día 28 de noviembre";"29"
"2020";"Día 29 de noviembre";"15"
"2020";"Día 30 de noviembre";"23"
"2020";"Día 1 de diciembre";"20"
"2020";"Día 2 de diciembre";"26"
"2020";"Día 3 de diciembre";"25"
"2020";"Día 4 de diciembre";"34"
"2020";"Día 5 de diciembre";"23"
"2020";"Día 6 de diciembre";"22"
"2020";"Día 7 de diciembre";"18"
"2020";"Día 8 de diciembre";"22"
"2020";"Día 9 de diciembre";"21"
"2020";"Día 10 de diciembre";"16"
"2020";"Día 11 de diciembre";"17"
"2020";"Día 12 de diciembre";"17"
"2020";"Día 13 de diciembre";"17"
"2020";"Día 14 de diciembre";"20"
"2020";"Día 15 de diciembre";"20"
"2020";"Día 16 de diciembre";"17"
"2020";"Día 17 de diciembre";"13"
"2020";"Día 18 de diciembre";"15"
"2020";"Día 19 de diciembre";"9"
"2020";"Día 20 de diciembre";"10"
"2020";"Día 21 de diciembre";"12"
"2020";"Día 22 de diciembre";"9"
"2020";"Día 23 de diciembre";"8"
"2020";"Día 24 de diciembre";"16"
"2020";"Día 25 de diciembre";"17"
"2020";"Día 26 de diciembre";"13"
"2020";"Día 27 de diciembre";"15"
"2020";"Día 28 de diciembre";"7"
"2020";"Día 29 de diciembre";"7"
"2020";"Día 30 de diciembre";"13"
"2020";"Día 31 de diciembre";"2"
"2021";"2021";"11"
"2021";"Día 2 de enero";"8"
"2021";"Día 3 de enero";"5"
"2021";"Día 4 de enero";"8"
"2021";"Día 5 de enero";"9"
"2021";"Día 6 de enero";"8"
"2021";"Día 7 de enero";"18"
"2021";"Día 8 de enero";"12"
"2021";"Día 9 de enero";"14"
"2021";"Día 10 de enero";"6"
"2021";"Día 11 de enero";"12"
"2021";"Día 12 de enero";"14"
"2021";"Día 13 de enero";"9"
"2021";"Día 14 de enero";"10"
"2021";"Día 15 de enero";"21"
"2021";"Día 16 de enero";"14"
"2021";"Día 17 de enero";"14"
"2021";"Día 18 de enero";"25"
"2021";"Día 19 de enero";"15"
"2021";"Día 20 de enero";"26"
"2021";"Día 21 de enero";"21"
"2021";"Día 22 de enero";"30"
"2021";"Día 23 de enero";"20"
"2021";"Día 24 de enero";"27"
"2021";"Día 25 de enero";"25"
"2021";"Día 26 de enero";"39"
"2021";"Día 27 de enero";"32"
"2021";"Día 28 de enero";"31"
"2021";"Día 29 de enero";"32"
"2021";"Día 30 de enero";"31"
"2021";"Día 31 de enero";"37"
"2021";"Día 1 de febrero";"35"
"2021";"Día 2 de febrero";"29"
"2021";"Día 3 de febrero";"35"
"2021";"Día 4 de febrero";"32"
"2021";"Día 5 de febrero";"31"
"2021";"Día 6 de febrero";"33"
"2021";"Día 7 de febrero";"24"
"2021";"Día 8 de febrero";"26"
"2021";"Día 9 de febrero";"37"
"2021";"Día 10 de febrero";"31"
