Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
Total;De 100.001 a 500.000 ;2011;11.186.947
Total;De 100.001 a 500.000 ;2010;11.076.146
Total;De 100.001 a 500.000 ;2009;11.035.190
Total;De 100.001 a 500.000 ;2008;10.832.927
Total;De 100.001 a 500.000 ;2007;10.487.449
Total;De 100.001 a 500.000 ;2006;10.456.384
Total;De 100.001 a 500.000 ;2005;10.282.131
Total;De 100.001 a 500.000 ;2004;10.130.473
Total;De 100.001 a 500.000 ;2003;9.961.028
Total;De 100.001 a 500.000 ;2002;9.791.066
Total;De 100.001 a 500.000 ;2001;9.570.582
Total;De 100.001 a 500.000 ;2000;9.368.333
Total;De 100.001 a 500.000 ;1999;9.332.617
Total;De 100.001 a 500.000 ;1998;9.170.577
Total;De 100.001 a 500.000 ;1997;""
Total;De 100.001 a 500.000 ;1996;9.230.435
Total;Más de 500.000 ;2021;7.668.824
Total;Más de 500.000 ;2020;7.750.859
Total;Más de 500.000 ;2019;7.635.419
Total;Más de 500.000 ;2018;7.561.707
Total;Más de 500.000 ;2017;7.514.972
Total;Más de 500.000 ;2016;7.485.171
Total;Más de 500.000 ;2015;7.460.696
Total;Más de 500.000 ;2014;7.483.692
Total;Más de 500.000 ;2013;7.562.024
Total;Más de 500.000 ;2012;7.600.910
Total;Más de 500.000 ;2011;7.624.295
Total;Más de 500.000 ;2010;7.649.479
Total;Más de 500.000 ;2009;7.637.517
Total;Más de 500.000 ;2008;7.568.714
Total;Más de 500.000 ;2007;7.440.012
Total;Más de 500.000 ;2006;7.453.732
Total;Más de 500.000 ;2005;7.454.797
Total;Más de 500.000 ;2004;7.354.845
Total;Más de 500.000 ;2003;7.339.311
Total;Más de 500.000 ;2002;7.166.068
Total;Más de 500.000 ;2001;7.056.698
Total;Más de 500.000 ;2000;6.955.052
Total;Más de 500.000 ;1999;6.957.762
Total;Más de 500.000 ;1998;6.959.872
Total;Más de 500.000 ;1997;""
Total;Más de 500.000 ;1996;6.970.634
01 Andalucía;Total;2021;8.472.407
01 Andalucía;Total;2020;8.464.411
01 Andalucía;Total;2019;8.414.240
01 Andalucía;Total;2018;8.384.408
01 Andalucía;Total;2017;8.379.820
01 Andalucía;Total;2016;8.388.107
01 Andalucía;Total;2015;8.399.043
01 Andalucía;Total;2014;8.402.305
01 Andalucía;Total;2013;8.440.300
01 Andalucía;Total;2012;8.449.985
01 Andalucía;Total;2011;8.424.102
01 Andalucía;Total;2010;8.370.975
01 Andalucía;Total;2009;8.302.923
01 Andalucía;Total;2008;8.202.220
01 Andalucía;Total;2007;8.059.461
01 Andalucía;Total;2006;7.975.672
01 Andalucía;Total;2005;7.849.799
01 Andalucía;Total;2004;7.687.518
01 Andalucía;Total;2003;7.606.848
01 Andalucía;Total;2002;7.478.432
01 Andalucía;Total;2001;7.403.968
01 Andalucía;Total;2000;7.340.052
01 Andalucía;Total;1999;7.305.117
01 Andalucía;Total;1998;7.236.459
01 Andalucía;Total;1997;""
01 Andalucía;Total;1996;7.234.873
01 Andalucía;Menos de 101 ;2021;112
01 Andalucía;Menos de 101 ;2020;109
01 Andalucía;Menos de 101 ;2019;114
01 Andalucía;Menos de 101 ;2018;125
01 Andalucía;Menos de 101 ;2017;118
01 Andalucía;Menos de 101 ;2016;119
01 Andalucía;Menos de 101 ;2015;132
01 Andalucía;Menos de 101 ;2014;119
01 Andalucía;Menos de 101 ;2013;125
01 Andalucía;Menos de 101 ;2012;143
01 Andalucía;Menos de 101 ;2011;149
01 Andalucía;Menos de 101 ;2010;134
01 Andalucía;Menos de 101 ;2009;140
01 Andalucía;Menos de 101 ;2008;152
01 Andalucía;Menos de 101 ;2007;148
01 Andalucía;Menos de 101 ;2006;110
01 Andalucía;Menos de 101 ;2005;112
01 Andalucía;Menos de 101 ;2004;114
01 Andalucía;Menos de 101 ;2003;118
01 Andalucía;Menos de 101 ;2002;238
01 Andalucía;Menos de 101 ;2001;248
01 Andalucía;Menos de 101 ;2000;154
01 Andalucía;Menos de 101 ;1999;149
01 Andalucía;Menos de 101 ;1998;149
01 Andalucía;Menos de 101 ;1997;""
01 Andalucía;Menos de 101 ;1996;136
01 Andalucía;De 101 a 500 ;2021;34.373
01 Andalucía;De 101 a 500 ;2020;34.085
01 Andalucía;De 101 a 500 ;2019;35.341
01 Andalucía;De 101 a 500 ;2018;34.445
01 Andalucía;De 101 a 500 ;2017;34.455
01 Andalucía;De 101 a 500 ;2016;34.198
01 Andalucía;De 101 a 500 ;2015;32.514
01 Andalucía;De 101 a 500 ;2014;32.509
01 Andalucía;De 101 a 500 ;2013;32.291
01 Andalucía;De 101 a 500 ;2012;30.815
01 Andalucía;De 101 a 500 ;2011;30.757
01 Andalucía;De 101 a 500 ;2010;31.098
01 Andalucía;De 101 a 500 ;2009;31.103
01 Andalucía;De 101 a 500 ;2008;29.573
01 Andalucía;De 101 a 500 ;2007;31.685
01 Andalucía;De 101 a 500 ;2006;31.154
01 Andalucía;De 101 a 500 ;2005;30.724
01 Andalucía;De 101 a 500 ;2004;30.210
01 Andalucía;De 101 a 500 ;2003;30.129
01 Andalucía;De 101 a 500 ;2002;29.466
01 Andalucía;De 101 a 500 ;2001;30.392
01 Andalucía;De 101 a 500 ;2000;28.549
01 Andalucía;De 101 a 500 ;1999;28.642
01 Andalucía;De 101 a 500 ;1998;28.670
01 Andalucía;De 101 a 500 ;1997;""
01 Andalucía;De 101 a 500 ;1996;27.128
01 Andalucía;De 501 a 1.000;2021;81.511
01 Andalucía;De 501 a 1.000;2020;80.015
01 Andalucía;De 501 a 1.000;2019;80.167
01 Andalucía;De 501 a 1.000;2018;78.887
01 Andalucía;De 501 a 1.000;2017;77.388
01 Andalucía;De 501 a 1.000;2016;73.302
01 Andalucía;De 501 a 1.000;2015;72.359
01 Andalucía;De 501 a 1.000;2014;71.119
01 Andalucía;De 501 a 1.000;2013;70.534
01 Andalucía;De 501 a 1.000;2012;72.844
01 Andalucía;De 501 a 1.000;2011;73.575
01 Andalucía;De 501 a 1.000;2010;71.060
01 Andalucía;De 501 a 1.000;2009;69.423
01 Andalucía;De 501 a 1.000;2008;72.896
01 Andalucía;De 501 a 1.000;2007;69.450
01 Andalucía;De 501 a 1.000;2006;66.790
01 Andalucía;De 501 a 1.000;2005;69.458
01 Andalucía;De 501 a 1.000;2004;68.766
01 Andalucía;De 501 a 1.000;2003;70.842
01 Andalucía;De 501 a 1.000;2002;69.744
01 Andalucía;De 501 a 1.000;2001;69.652
01 Andalucía;De 501 a 1.000;2000;73.846
01 Andalucía;De 501 a 1.000;1999;68.989
01 Andalucía;De 501 a 1.000;1998;69.884
01 Andalucía;De 501 a 1.000;1997;""
01 Andalucía;De 501 a 1.000;1996;63.884
01 Andalucía;De 1.001 a 2.000 ;2021;161.357
01 Andalucía;De 1.001 a 2.000 ;2020;160.010
01 Andalucía;De 1.001 a 2.000 ;2019;159.949
01 Andalucía;De 1.001 a 2.000 ;2018;163.139
01 Andalucía;De 1.001 a 2.000 ;2017;161.915
01 Andalucía;De 1.001 a 2.000 ;2016;170.388
01 Andalucía;De 1.001 a 2.000 ;2015;169.379
01 Andalucía;De 1.001 a 2.000 ;2014;172.312
01 Andalucía;De 1.001 a 2.000 ;2013;175.775
01 Andalucía;De 1.001 a 2.000 ;2012;171.696
01 Andalucía;De 1.001 a 2.000 ;2011;176.016
01 Andalucía;De 1.001 a 2.000 ;2010;173.152
01 Andalucía;De 1.001 a 2.000 ;2009;169.329
01 Andalucía;De 1.001 a 2.000 ;2008;172.614
01 Andalucía;De 1.001 a 2.000 ;2007;174.998
01 Andalucía;De 1.001 a 2.000 ;2006;169.551
01 Andalucía;De 1.001 a 2.000 ;2005;173.210
01 Andalucía;De 1.001 a 2.000 ;2004;190.675
01 Andalucía;De 1.001 a 2.000 ;2003;188.305
01 Andalucía;De 1.001 a 2.000 ;2002;194.033
01 Andalucía;De 1.001 a 2.000 ;2001;204.136
01 Andalucía;De 1.001 a 2.000 ;2000;205.887
01 Andalucía;De 1.001 a 2.000 ;1999;205.380
01 Andalucía;De 1.001 a 2.000 ;1998;192.694
01 Andalucía;De 1.001 a 2.000 ;1997;""
01 Andalucía;De 1.001 a 2.000 ;1996;199.851
01 Andalucía;De 2.001 a 5.000 ;2021;622.863
01 Andalucía;De 2.001 a 5.000 ;2020;632.211
01 Andalucía;De 2.001 a 5.000 ;2019;626.773
01 Andalucía;De 2.001 a 5.000 ;2018;618.133
01 Andalucía;De 2.001 a 5.000 ;2017;626.683
01 Andalucía;De 2.001 a 5.000 ;2016;635.961
01 Andalucía;De 2.001 a 5.000 ;2015;645.240
01 Andalucía;De 2.001 a 5.000 ;2014;633.202
01 Andalucía;De 2.001 a 5.000 ;2013;618.145
