Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
08 Castilla - La Mancha;De 100.001 a 500.000 ;2007;164.771
08 Castilla - La Mancha;De 100.001 a 500.000 ;2006;161.508
08 Castilla - La Mancha;De 100.001 a 500.000 ;2005;159.518
08 Castilla - La Mancha;De 100.001 a 500.000 ;2004;156.466
08 Castilla - La Mancha;De 100.001 a 500.000 ;2003;155.142
08 Castilla - La Mancha;De 100.001 a 500.000 ;2002;152.155
08 Castilla - La Mancha;De 100.001 a 500.000 ;2001;149.507
08 Castilla - La Mancha;De 100.001 a 500.000 ;2000;149.667
08 Castilla - La Mancha;De 100.001 a 500.000 ;1999;147.527
08 Castilla - La Mancha;De 100.001 a 500.000 ;1998;145.454
08 Castilla - La Mancha;De 100.001 a 500.000 ;1997;""
08 Castilla - La Mancha;De 100.001 a 500.000 ;1996;143.799
08 Castilla - La Mancha;Más de 500.000 ;2021;0
08 Castilla - La Mancha;Más de 500.000 ;2020;0
08 Castilla - La Mancha;Más de 500.000 ;2019;0
08 Castilla - La Mancha;Más de 500.000 ;2018;0
08 Castilla - La Mancha;Más de 500.000 ;2017;0
08 Castilla - La Mancha;Más de 500.000 ;2016;0
08 Castilla - La Mancha;Más de 500.000 ;2015;0
08 Castilla - La Mancha;Más de 500.000 ;2014;0
08 Castilla - La Mancha;Más de 500.000 ;2013;0
08 Castilla - La Mancha;Más de 500.000 ;2012;0
08 Castilla - La Mancha;Más de 500.000 ;2011;0
08 Castilla - La Mancha;Más de 500.000 ;2010;0
08 Castilla - La Mancha;Más de 500.000 ;2009;0
08 Castilla - La Mancha;Más de 500.000 ;2008;0
08 Castilla - La Mancha;Más de 500.000 ;2007;0
08 Castilla - La Mancha;Más de 500.000 ;2006;0
08 Castilla - La Mancha;Más de 500.000 ;2005;0
08 Castilla - La Mancha;Más de 500.000 ;2004;0
08 Castilla - La Mancha;Más de 500.000 ;2003;0
08 Castilla - La Mancha;Más de 500.000 ;2002;0
08 Castilla - La Mancha;Más de 500.000 ;2001;0
08 Castilla - La Mancha;Más de 500.000 ;2000;0
08 Castilla - La Mancha;Más de 500.000 ;1999;0
08 Castilla - La Mancha;Más de 500.000 ;1998;0
08 Castilla - La Mancha;Más de 500.000 ;1997;""
08 Castilla - La Mancha;Más de 500.000 ;1996;0
09 Cataluña;Total;2021;7.763.362
09 Cataluña;Total;2020;7.780.479
09 Cataluña;Total;2019;7.675.217
09 Cataluña;Total;2018;7.600.065
09 Cataluña;Total;2017;7.555.830
09 Cataluña;Total;2016;7.522.596
09 Cataluña;Total;2015;7.508.106
09 Cataluña;Total;2014;7.518.903
09 Cataluña;Total;2013;7.553.650
09 Cataluña;Total;2012;7.570.908
09 Cataluña;Total;2011;7.539.618
09 Cataluña;Total;2010;7.512.381
09 Cataluña;Total;2009;7.475.420
09 Cataluña;Total;2008;7.364.078
09 Cataluña;Total;2007;7.210.508
09 Cataluña;Total;2006;7.134.697
09 Cataluña;Total;2005;6.995.206
09 Cataluña;Total;2004;6.813.319
09 Cataluña;Total;2003;6.704.146
09 Cataluña;Total;2002;6.506.440
09 Cataluña;Total;2001;6.361.365
09 Cataluña;Total;2000;6.261.999
09 Cataluña;Total;1999;6.207.533
09 Cataluña;Total;1998;6.147.610
09 Cataluña;Total;1997;""
09 Cataluña;Total;1996;6.090.040
09 Cataluña;Menos de 101 ;2021;2.456
09 Cataluña;Menos de 101 ;2020;2.510
09 Cataluña;Menos de 101 ;2019;2.371
09 Cataluña;Menos de 101 ;2018;2.890
09 Cataluña;Menos de 101 ;2017;2.515
09 Cataluña;Menos de 101 ;2016;2.732
09 Cataluña;Menos de 101 ;2015;2.261
09 Cataluña;Menos de 101 ;2014;2.194
09 Cataluña;Menos de 101 ;2013;1.760
09 Cataluña;Menos de 101 ;2012;2.113
09 Cataluña;Menos de 101 ;2011;1.838
09 Cataluña;Menos de 101 ;2010;1.621
09 Cataluña;Menos de 101 ;2009;1.715
09 Cataluña;Menos de 101 ;2008;1.600
09 Cataluña;Menos de 101 ;2007;1.690
09 Cataluña;Menos de 101 ;2006;1.554
09 Cataluña;Menos de 101 ;2005;1.826
09 Cataluña;Menos de 101 ;2004;1.911
09 Cataluña;Menos de 101 ;2003;1.975
09 Cataluña;Menos de 101 ;2002;2.048
09 Cataluña;Menos de 101 ;2001;1.915
09 Cataluña;Menos de 101 ;2000;1.998
09 Cataluña;Menos de 101 ;1999;2.070
09 Cataluña;Menos de 101 ;1998;2.112
09 Cataluña;Menos de 101 ;1997;""
09 Cataluña;Menos de 101 ;1996;2.029
09 Cataluña;De 101 a 500 ;2021;80.084
09 Cataluña;De 101 a 500 ;2020;80.621
09 Cataluña;De 101 a 500 ;2019;80.286
09 Cataluña;De 101 a 500 ;2018;80.313
09 Cataluña;De 101 a 500 ;2017;81.543
09 Cataluña;De 101 a 500 ;2016;81.400
09 Cataluña;De 101 a 500 ;2015;79.996
09 Cataluña;De 101 a 500 ;2014;79.458
09 Cataluña;De 101 a 500 ;2013;79.874
09 Cataluña;De 101 a 500 ;2012;80.191
09 Cataluña;De 101 a 500 ;2011;81.359
09 Cataluña;De 101 a 500 ;2010;80.987
09 Cataluña;De 101 a 500 ;2009;82.744
09 Cataluña;De 101 a 500 ;2008;83.278
09 Cataluña;De 101 a 500 ;2007;82.462
09 Cataluña;De 101 a 500 ;2006;87.362
09 Cataluña;De 101 a 500 ;2005;88.934
09 Cataluña;De 101 a 500 ;2004;86.264
09 Cataluña;De 101 a 500 ;2003;86.261
09 Cataluña;De 101 a 500 ;2002;87.620
09 Cataluña;De 101 a 500 ;2001;87.085
09 Cataluña;De 101 a 500 ;2000;86.967
09 Cataluña;De 101 a 500 ;1999;87.698
09 Cataluña;De 101 a 500 ;1998;89.062
09 Cataluña;De 101 a 500 ;1997;""
09 Cataluña;De 101 a 500 ;1996;90.072
09 Cataluña;De 501 a 1.000;2021;112.984
09 Cataluña;De 501 a 1.000;2020;109.192
09 Cataluña;De 501 a 1.000;2019;110.111
09 Cataluña;De 501 a 1.000;2018;111.928
09 Cataluña;De 501 a 1.000;2017;109.399
09 Cataluña;De 501 a 1.000;2016;109.554
09 Cataluña;De 501 a 1.000;2015;111.692
09 Cataluña;De 501 a 1.000;2014;114.222
09 Cataluña;De 501 a 1.000;2013;114.369
09 Cataluña;De 501 a 1.000;2012;112.022
09 Cataluña;De 501 a 1.000;2011;109.149
09 Cataluña;De 501 a 1.000;2010;109.271
09 Cataluña;De 501 a 1.000;2009;107.903
09 Cataluña;De 501 a 1.000;2008;107.450
09 Cataluña;De 501 a 1.000;2007;112.268
09 Cataluña;De 501 a 1.000;2006;109.042
09 Cataluña;De 501 a 1.000;2005;110.040
09 Cataluña;De 501 a 1.000;2004;113.714
09 Cataluña;De 501 a 1.000;2003;111.926
09 Cataluña;De 501 a 1.000;2002;113.600
09 Cataluña;De 501 a 1.000;2001;114.752
09 Cataluña;De 501 a 1.000;2000;116.110
09 Cataluña;De 501 a 1.000;1999;114.102
09 Cataluña;De 501 a 1.000;1998;111.222
09 Cataluña;De 501 a 1.000;1997;""
09 Cataluña;De 501 a 1.000;1996;110.160
09 Cataluña;De 1.001 a 2.000 ;2021;150.301
09 Cataluña;De 1.001 a 2.000 ;2020;148.266
09 Cataluña;De 1.001 a 2.000 ;2019;147.846
09 Cataluña;De 1.001 a 2.000 ;2018;146.226
09 Cataluña;De 1.001 a 2.000 ;2017;149.807
09 Cataluña;De 1.001 a 2.000 ;2016;151.374
09 Cataluña;De 1.001 a 2.000 ;2015;149.187
09 Cataluña;De 1.001 a 2.000 ;2014;152.772
09 Cataluña;De 1.001 a 2.000 ;2013;152.208
09 Cataluña;De 1.001 a 2.000 ;2012;157.045
09 Cataluña;De 1.001 a 2.000 ;2011;164.682
09 Cataluña;De 1.001 a 2.000 ;2010;169.518
09 Cataluña;De 1.001 a 2.000 ;2009;169.504
09 Cataluña;De 1.001 a 2.000 ;2008;166.398
09 Cataluña;De 1.001 a 2.000 ;2007;164.926
09 Cataluña;De 1.001 a 2.000 ;2006;162.226
09 Cataluña;De 1.001 a 2.000 ;2005;166.830
09 Cataluña;De 1.001 a 2.000 ;2004;176.194
09 Cataluña;De 1.001 a 2.000 ;2003;178.726
09 Cataluña;De 1.001 a 2.000 ;2002;172.844
09 Cataluña;De 1.001 a 2.000 ;2001;182.218
09 Cataluña;De 1.001 a 2.000 ;2000;189.156
09 Cataluña;De 1.001 a 2.000 ;1999;186.540
09 Cataluña;De 1.001 a 2.000 ;1998;186.598
09 Cataluña;De 1.001 a 2.000 ;1997;""
09 Cataluña;De 1.001 a 2.000 ;1996;186.501
09 Cataluña;De 2.001 a 5.000 ;2021;442.465
09 Cataluña;De 2.001 a 5.000 ;2020;441.154
09 Cataluña;De 2.001 a 5.000 ;2019;434.503
09 Cataluña;De 2.001 a 5.000 ;2018;429.284
09 Cataluña;De 2.001 a 5.000 ;2017;429.919
09 Cataluña;De 2.001 a 5.000 ;2016;429.109
09 Cataluña;De 2.001 a 5.000 ;2015;438.980
09 Cataluña;De 2.001 a 5.000 ;2014;446.549
09 Cataluña;De 2.001 a 5.000 ;2013;432.770
09 Cataluña;De 2.001 a 5.000 ;2012;438.065
09 Cataluña;De 2.001 a 5.000 ;2011;434.465
09 Cataluña;De 2.001 a 5.000 ;2010;425.120
09 Cataluña;De 2.001 a 5.000 ;2009;422.943
09 Cataluña;De 2.001 a 5.000 ;2008;431.323
09 Cataluña;De 2.001 a 5.000 ;2007;419.082
09 Cataluña;De 2.001 a 5.000 ;2006;413.330
09 Cataluña;De 2.001 a 5.000 ;2005;416.773
09 Cataluña;De 2.001 a 5.000 ;2004;407.858
09 Cataluña;De 2.001 a 5.000 ;2003;404.783
09 Cataluña;De 2.001 a 5.000 ;2002;399.273
09 Cataluña;De 2.001 a 5.000 ;2001;398.328
09 Cataluña;De 2.001 a 5.000 ;2000;398.703
09 Cataluña;De 2.001 a 5.000 ;1999;410.611
09 Cataluña;De 2.001 a 5.000 ;1998;403.895
09 Cataluña;De 2.001 a 5.000 ;1997;""
09 Cataluña;De 2.001 a 5.000 ;1996;396.554
09 Cataluña;De 5.001 a 10.000 ;2021;641.364
09 Cataluña;De 5.001 a 10.000 ;2020;630.906
09 Cataluña;De 5.001 a 10.000 ;2019;642.298
09 Cataluña;De 5.001 a 10.000 ;2018;635.766
09 Cataluña;De 5.001 a 10.000 ;2017;626.445
09 Cataluña;De 5.001 a 10.000 ;2016;623.275
09 Cataluña;De 5.001 a 10.000 ;2015;618.143
09 Cataluña;De 5.001 a 10.000 ;2014;618.469
09 Cataluña;De 5.001 a 10.000 ;2013;630.328
09 Cataluña;De 5.001 a 10.000 ;2012;624.508
09 Cataluña;De 5.001 a 10.000 ;2011;615.846
09 Cataluña;De 5.001 a 10.000 ;2010;603.899
09 Cataluña;De 5.001 a 10.000 ;2009;602.711
09 Cataluña;De 5.001 a 10.000 ;2008;580.840
09 Cataluña;De 5.001 a 10.000 ;2007;605.921
09 Cataluña;De 5.001 a 10.000 ;2006;593.788
09 Cataluña;De 5.001 a 10.000 ;2005;568.114
09 Cataluña;De 5.001 a 10.000 ;2004;555.015
09 Cataluña;De 5.001 a 10.000 ;2003;538.280
09 Cataluña;De 5.001 a 10.000 ;2002;508.974
09 Cataluña;De 5.001 a 10.000 ;2001;518.977
09 Cataluña;De 5.001 a 10.000 ;2000;497.697
09 Cataluña;De 5.001 a 10.000 ;1999;469.234
09 Cataluña;De 5.001 a 10.000 ;1998;459.844
09 Cataluña;De 5.001 a 10.000 ;1997;""
09 Cataluña;De 5.001 a 10.000 ;1996;456.304
09 Cataluña;De 10.001 a 20.000 ;2021;804.744
09 Cataluña;De 10.001 a 20.000 ;2020;799.771
09 Cataluña;De 10.001 a 20.000 ;2019;789.005
09 Cataluña;De 10.001 a 20.000 ;2018;820.190
09 Cataluña;De 10.001 a 20.000 ;2017;813.880
09 Cataluña;De 10.001 a 20.000 ;2016;808.964
09 Cataluña;De 10.001 a 20.000 ;2015;808.282
09 Cataluña;De 10.001 a 20.000 ;2014;799.551
09 Cataluña;De 10.001 a 20.000 ;2013;812.710
09 Cataluña;De 10.001 a 20.000 ;2012;830.943
09 Cataluña;De 10.001 a 20.000 ;2011;827.457
09 Cataluña;De 10.001 a 20.000 ;2010;802.488
09 Cataluña;De 10.001 a 20.000 ;2009;784.210
09 Cataluña;De 10.001 a 20.000 ;2008;777.930
09 Cataluña;De 10.001 a 20.000 ;2007;734.960
09 Cataluña;De 10.001 a 20.000 ;2006;715.701
09 Cataluña;De 10.001 a 20.000 ;2005;682.471
09 Cataluña;De 10.001 a 20.000 ;2004;693.658
09 Cataluña;De 10.001 a 20.000 ;2003;692.566
09 Cataluña;De 10.001 a 20.000 ;2002;687.820
09 Cataluña;De 10.001 a 20.000 ;2001;607.035
09 Cataluña;De 10.001 a 20.000 ;2000;630.617
09 Cataluña;De 10.001 a 20.000 ;1999;683.308
09 Cataluña;De 10.001 a 20.000 ;1998;658.313
09 Cataluña;De 10.001 a 20.000 ;1997;""
09 Cataluña;De 10.001 a 20.000 ;1996;659.159
09 Cataluña;De 20.001 a 50.000 ;2021;1.371.839
09 Cataluña;De 20.001 a 50.000 ;2020;1.370.744
09 Cataluña;De 20.001 a 50.000 ;2019;1.331.619
09 Cataluña;De 20.001 a 50.000 ;2018;1.278.123
09 Cataluña;De 20.001 a 50.000 ;2017;1.266.808
09 Cataluña;De 20.001 a 50.000 ;2016;1.263.237
09 Cataluña;De 20.001 a 50.000 ;2015;1.258.869
09 Cataluña;De 20.001 a 50.000 ;2014;1.260.451
09 Cataluña;De 20.001 a 50.000 ;2013;1.265.372
09 Cataluña;De 20.001 a 50.000 ;2012;1.246.008
09 Cataluña;De 20.001 a 50.000 ;2011;1.238.537
09 Cataluña;De 20.001 a 50.000 ;2010;1.251.110
09 Cataluña;De 20.001 a 50.000 ;2009;1.242.636
09 Cataluña;De 20.001 a 50.000 ;2008;1.200.144
09 Cataluña;De 20.001 a 50.000 ;2007;1.130.202
09 Cataluña;De 20.001 a 50.000 ;2006;1.094.217
09 Cataluña;De 20.001 a 50.000 ;2005;1.047.146
09 Cataluña;De 20.001 a 50.000 ;2004;934.170
09 Cataluña;De 20.001 a 50.000 ;2003;874.712
09 Cataluña;De 20.001 a 50.000 ;2002;924.473
09 Cataluña;De 20.001 a 50.000 ;2001;896.051
09 Cataluña;De 20.001 a 50.000 ;2000;815.310
09 Cataluña;De 20.001 a 50.000 ;1999;723.517
09 Cataluña;De 20.001 a 50.000 ;1998;712.438
09 Cataluña;De 20.001 a 50.000 ;1997;""
09 Cataluña;De 20.001 a 50.000 ;1996;756.877
09 Cataluña;De 50.001 a 100.000 ;2021;861.574
09 Cataluña;De 50.001 a 100.000 ;2020;863.898
09 Cataluña;De 50.001 a 100.000 ;2019;853.677
09 Cataluña;De 50.001 a 100.000 ;2018;846.217
09 Cataluña;De 50.001 a 100.000 ;2017;939.468
09 Cataluña;De 50.001 a 100.000 ;2016;934.877
09 Cataluña;De 50.001 a 100.000 ;2015;930.480
09 Cataluña;De 50.001 a 100.000 ;2014;929.807
09 Cataluña;De 50.001 a 100.000 ;2013;931.697
09 Cataluña;De 50.001 a 100.000 ;2012;931.744
09 Cataluña;De 50.001 a 100.000 ;2011;929.666
09 Cataluña;De 50.001 a 100.000 ;2010;924.282
09 Cataluña;De 50.001 a 100.000 ;2009;920.699
09 Cataluña;De 50.001 a 100.000 ;2008;905.729
09 Cataluña;De 50.001 a 100.000 ;2007;889.878
09 Cataluña;De 50.001 a 100.000 ;2006;885.437
09 Cataluña;De 50.001 a 100.000 ;2005;968.954
09 Cataluña;De 50.001 a 100.000 ;2004;943.893
09 Cataluña;De 50.001 a 100.000 ;2003;928.436
09 Cataluña;De 50.001 a 100.000 ;2002;804.354
09 Cataluña;De 50.001 a 100.000 ;2001;786.831
09 Cataluña;De 50.001 a 100.000 ;2000;774.851
09 Cataluña;De 50.001 a 100.000 ;1999;765.707
09 Cataluña;De 50.001 a 100.000 ;1998;760.680
09 Cataluña;De 50.001 a 100.000 ;1997;""
09 Cataluña;De 50.001 a 100.000 ;1996;658.478
09 Cataluña;De 100.001 a 500.000 ;2021;1.658.819
09 Cataluña;De 100.001 a 500.000 ;2020;1.669.235
09 Cataluña;De 100.001 a 500.000 ;2019;1.646.739
09 Cataluña;De 100.001 a 500.000 ;2018;1.628.785
09 Cataluña;De 100.001 a 500.000 ;2017;1.515.237
09 Cataluña;De 100.001 a 500.000 ;2016;1.509.328
09 Cataluña;De 100.001 a 500.000 ;2015;1.505.661
09 Cataluña;De 100.001 a 500.000 ;2014;1.513.044
09 Cataluña;De 100.001 a 500.000 ;2013;1.520.740
09 Cataluña;De 100.001 a 500.000 ;2012;1.527.326
09 Cataluña;De 100.001 a 500.000 ;2011;1.521.171
09 Cataluña;De 100.001 a 500.000 ;2010;1.524.748
09 Cataluña;De 100.001 a 500.000 ;2009;1.518.818
09 Cataluña;De 100.001 a 500.000 ;2008;1.493.478
09 Cataluña;De 100.001 a 500.000 ;2007;1.474.009
09 Cataluña;De 100.001 a 500.000 ;2006;1.466.438
09 Cataluña;De 100.001 a 500.000 ;2005;1.351.043
09 Cataluña;De 100.001 a 500.000 ;2004;1.322.096
09 Cataluña;De 100.001 a 500.000 ;2003;1.303.743
09 Cataluña;De 100.001 a 500.000 ;2002;1.278.244
09 Cataluña;De 100.001 a 500.000 ;2001;1.262.848
09 Cataluña;De 100.001 a 500.000 ;2000;1.254.324
09 Cataluña;De 100.001 a 500.000 ;1999;1.261.295
09 Cataluña;De 100.001 a 500.000 ;1998;1.257.865
09 Cataluña;De 100.001 a 500.000 ;1997;""
09 Cataluña;De 100.001 a 500.000 ;1996;1.265.101
09 Cataluña;Más de 500.000 ;2021;1.636.732
09 Cataluña;Más de 500.000 ;2020;1.664.182
09 Cataluña;Más de 500.000 ;2019;1.636.762
09 Cataluña;Más de 500.000 ;2018;1.620.343
09 Cataluña;Más de 500.000 ;2017;1.620.809
09 Cataluña;Más de 500.000 ;2016;1.608.746
09 Cataluña;Más de 500.000 ;2015;1.604.555
09 Cataluña;Más de 500.000 ;2014;1.602.386
09 Cataluña;Más de 500.000 ;2013;1.611.822
09 Cataluña;Más de 500.000 ;2012;1.620.943
09 Cataluña;Más de 500.000 ;2011;1.615.448
09 Cataluña;Más de 500.000 ;2010;1.619.337
09 Cataluña;Más de 500.000 ;2009;1.621.537
09 Cataluña;Más de 500.000 ;2008;1.615.908
09 Cataluña;Más de 500.000 ;2007;1.595.110
09 Cataluña;Más de 500.000 ;2006;1.605.602
09 Cataluña;Más de 500.000 ;2005;1.593.075
09 Cataluña;Más de 500.000 ;2004;1.578.546
09 Cataluña;Más de 500.000 ;2003;1.582.738
09 Cataluña;Más de 500.000 ;2002;1.527.190
09 Cataluña;Más de 500.000 ;2001;1.505.325
09 Cataluña;Más de 500.000 ;2000;1.496.266
09 Cataluña;Más de 500.000 ;1999;1.503.451
09 Cataluña;Más de 500.000 ;1998;1.505.581
09 Cataluña;Más de 500.000 ;1997;""
09 Cataluña;Más de 500.000 ;1996;1.508.805
10 Comunitat Valenciana;Total;2021;5.058.138
10 Comunitat Valenciana;Total;2020;5.057.353
10 Comunitat Valenciana;Total;2019;5.003.769
10 Comunitat Valenciana;Total;2018;4.963.703
10 Comunitat Valenciana;Total;2017;4.941.509
10 Comunitat Valenciana;Total;2016;4.959.968
10 Comunitat Valenciana;Total;2015;4.980.689
10 Comunitat Valenciana;Total;2014;5.004.844
10 Comunitat Valenciana;Total;2013;5.113.815
10 Comunitat Valenciana;Total;2012;5.129.266
10 Comunitat Valenciana;Total;2011;5.117.190
10 Comunitat Valenciana;Total;2010;5.111.706
10 Comunitat Valenciana;Total;2009;5.094.675
10 Comunitat Valenciana;Total;2008;5.029.601
10 Comunitat Valenciana;Total;2007;4.885.029
10 Comunitat Valenciana;Total;2006;4.806.908
10 Comunitat Valenciana;Total;2005;4.692.449
10 Comunitat Valenciana;Total;2004;4.543.304
10 Comunitat Valenciana;Total;2003;4.470.885
10 Comunitat Valenciana;Total;2002;4.326.708
10 Comunitat Valenciana;Total;2001;4.202.608
10 Comunitat Valenciana;Total;2000;4.120.729
10 Comunitat Valenciana;Total;1999;4.066.474
10 Comunitat Valenciana;Total;1998;4.023.441
10 Comunitat Valenciana;Total;1997;""
10 Comunitat Valenciana;Total;1996;4.009.329
10 Comunitat Valenciana;Menos de 101 ;2021;1.445
10 Comunitat Valenciana;Menos de 101 ;2020;1.500
10 Comunitat Valenciana;Menos de 101 ;2019;1.486
10 Comunitat Valenciana;Menos de 101 ;2018;1.592
10 Comunitat Valenciana;Menos de 101 ;2017;1.510
10 Comunitat Valenciana;Menos de 101 ;2016;1.782
10 Comunitat Valenciana;Menos de 101 ;2015;1.356
10 Comunitat Valenciana;Menos de 101 ;2014;1.498
10 Comunitat Valenciana;Menos de 101 ;2013;1.319
10 Comunitat Valenciana;Menos de 101 ;2012;1.321
10 Comunitat Valenciana;Menos de 101 ;2011;1.237
10 Comunitat Valenciana;Menos de 101 ;2010;1.296
10 Comunitat Valenciana;Menos de 101 ;2009;1.503
10 Comunitat Valenciana;Menos de 101 ;2008;1.484
10 Comunitat Valenciana;Menos de 101 ;2007;1.373
10 Comunitat Valenciana;Menos de 101 ;2006;1.610
10 Comunitat Valenciana;Menos de 101 ;2005;1.575
10 Comunitat Valenciana;Menos de 101 ;2004;1.647
10 Comunitat Valenciana;Menos de 101 ;2003;1.604
10 Comunitat Valenciana;Menos de 101 ;2002;1.617
10 Comunitat Valenciana;Menos de 101 ;2001;1.599
10 Comunitat Valenciana;Menos de 101 ;2000;1.411
10 Comunitat Valenciana;Menos de 101 ;1999;1.515
10 Comunitat Valenciana;Menos de 101 ;1998;1.239
10 Comunitat Valenciana;Menos de 101 ;1997;""
10 Comunitat Valenciana;Menos de 101 ;1996;1.095
10 Comunitat Valenciana;De 101 a 500 ;2021;31.510
10 Comunitat Valenciana;De 101 a 500 ;2020;32.334
10 Comunitat Valenciana;De 101 a 500 ;2019;33.644
10 Comunitat Valenciana;De 101 a 500 ;2018;33.404
10 Comunitat Valenciana;De 101 a 500 ;2017;33.774
10 Comunitat Valenciana;De 101 a 500 ;2016;33.432
10 Comunitat Valenciana;De 101 a 500 ;2015;32.660
10 Comunitat Valenciana;De 101 a 500 ;2014;32.856
10 Comunitat Valenciana;De 101 a 500 ;2013;31.989
10 Comunitat Valenciana;De 101 a 500 ;2012;32.062
10 Comunitat Valenciana;De 101 a 500 ;2011;31.621
10 Comunitat Valenciana;De 101 a 500 ;2010;32.795
10 Comunitat Valenciana;De 101 a 500 ;2009;31.387
10 Comunitat Valenciana;De 101 a 500 ;2008;30.936
10 Comunitat Valenciana;De 101 a 500 ;2007;31.720
10 Comunitat Valenciana;De 101 a 500 ;2006;32.280
10 Comunitat Valenciana;De 101 a 500 ;2005;33.787
10 Comunitat Valenciana;De 101 a 500 ;2004;34.610
10 Comunitat Valenciana;De 101 a 500 ;2003;35.019
10 Comunitat Valenciana;De 101 a 500 ;2002;34.746
10 Comunitat Valenciana;De 101 a 500 ;2001;34.895
10 Comunitat Valenciana;De 101 a 500 ;2000;35.521
10 Comunitat Valenciana;De 101 a 500 ;1999;35.872
10 Comunitat Valenciana;De 101 a 500 ;1998;36.412
10 Comunitat Valenciana;De 101 a 500 ;1997;""
10 Comunitat Valenciana;De 101 a 500 ;1996;36.896
10 Comunitat Valenciana;De 501 a 1.000;2021;53.311
10 Comunitat Valenciana;De 501 a 1.000;2020;54.227
10 Comunitat Valenciana;De 501 a 1.000;2019;54.403
10 Comunitat Valenciana;De 501 a 1.000;2018;53.390
10 Comunitat Valenciana;De 501 a 1.000;2017;53.988
10 Comunitat Valenciana;De 501 a 1.000;2016;53.914
10 Comunitat Valenciana;De 501 a 1.000;2015;54.011
10 Comunitat Valenciana;De 501 a 1.000;2014;56.672
10 Comunitat Valenciana;De 501 a 1.000;2013;54.658
10 Comunitat Valenciana;De 501 a 1.000;2012;56.566
10 Comunitat Valenciana;De 501 a 1.000;2011;58.274
10 Comunitat Valenciana;De 501 a 1.000;2010;58.603
10 Comunitat Valenciana;De 501 a 1.000;2009;58.440
10 Comunitat Valenciana;De 501 a 1.000;2008;60.906
10 Comunitat Valenciana;De 501 a 1.000;2007;61.394
10 Comunitat Valenciana;De 501 a 1.000;2006;60.581
10 Comunitat Valenciana;De 501 a 1.000;2005;61.454
10 Comunitat Valenciana;De 501 a 1.000;2004;64.406
10 Comunitat Valenciana;De 501 a 1.000;2003;61.321
10 Comunitat Valenciana;De 501 a 1.000;2002;61.834
10 Comunitat Valenciana;De 501 a 1.000;2001;59.398
10 Comunitat Valenciana;De 501 a 1.000;2000;61.350
10 Comunitat Valenciana;De 501 a 1.000;1999;60.112
10 Comunitat Valenciana;De 501 a 1.000;1998;60.228
10 Comunitat Valenciana;De 501 a 1.000;1997;""
10 Comunitat Valenciana;De 501 a 1.000;1996;58.462
10 Comunitat Valenciana;De 1.001 a 2.000 ;2021;106.494
10 Comunitat Valenciana;De 1.001 a 2.000 ;2020;108.077
10 Comunitat Valenciana;De 1.001 a 2.000 ;2019;108.323
10 Comunitat Valenciana;De 1.001 a 2.000 ;2018;114.779
10 Comunitat Valenciana;De 1.001 a 2.000 ;2017;115.240
10 Comunitat Valenciana;De 1.001 a 2.000 ;2016;116.588
10 Comunitat Valenciana;De 1.001 a 2.000 ;2015;120.554
10 Comunitat Valenciana;De 1.001 a 2.000 ;2014;117.365
10 Comunitat Valenciana;De 1.001 a 2.000 ;2013;120.030
10 Comunitat Valenciana;De 1.001 a 2.000 ;2012;121.565
10 Comunitat Valenciana;De 1.001 a 2.000 ;2011;122.035
10 Comunitat Valenciana;De 1.001 a 2.000 ;2010;118.561
10 Comunitat Valenciana;De 1.001 a 2.000 ;2009;117.696
10 Comunitat Valenciana;De 1.001 a 2.000 ;2008;116.311
10 Comunitat Valenciana;De 1.001 a 2.000 ;2007;118.318
10 Comunitat Valenciana;De 1.001 a 2.000 ;2006;121.715
10 Comunitat Valenciana;De 1.001 a 2.000 ;2005;123.849
10 Comunitat Valenciana;De 1.001 a 2.000 ;2004;125.721
10 Comunitat Valenciana;De 1.001 a 2.000 ;2003;129.102
10 Comunitat Valenciana;De 1.001 a 2.000 ;2002;127.544
10 Comunitat Valenciana;De 1.001 a 2.000 ;2001;133.809
10 Comunitat Valenciana;De 1.001 a 2.000 ;2000;136.584
10 Comunitat Valenciana;De 1.001 a 2.000 ;1999;138.336
10 Comunitat Valenciana;De 1.001 a 2.000 ;1998;132.297
10 Comunitat Valenciana;De 1.001 a 2.000 ;1997;""
10 Comunitat Valenciana;De 1.001 a 2.000 ;1996;139.556
10 Comunitat Valenciana;De 2.001 a 5.000 ;2021;266.404
10 Comunitat Valenciana;De 2.001 a 5.000 ;2020;257.477
10 Comunitat Valenciana;De 2.001 a 5.000 ;2019;262.842
10 Comunitat Valenciana;De 2.001 a 5.000 ;2018;255.453
10 Comunitat Valenciana;De 2.001 a 5.000 ;2017;255.039
10 Comunitat Valenciana;De 2.001 a 5.000 ;2016;253.779
10 Comunitat Valenciana;De 2.001 a 5.000 ;2015;256.899
10 Comunitat Valenciana;De 2.001 a 5.000 ;2014;260.705
10 Comunitat Valenciana;De 2.001 a 5.000 ;2013;258.207
10 Comunitat Valenciana;De 2.001 a 5.000 ;2012;260.461
10 Comunitat Valenciana;De 2.001 a 5.000 ;2011;260.323
10 Comunitat Valenciana;De 2.001 a 5.000 ;2010;263.244
10 Comunitat Valenciana;De 2.001 a 5.000 ;2009;268.197
10 Comunitat Valenciana;De 2.001 a 5.000 ;2008;266.109
10 Comunitat Valenciana;De 2.001 a 5.000 ;2007;276.793
