Año;Periodo;Tasa de gripe por 100.000 habitantes;Semana;Tasa gripe x 100.000 habitantes total
2018;Semana 9;81,55;9;81.55
2018;Semana 10;57,48;10;57.48
2018;Semana 11;41,34;11;41.34
2018;Semana 12;29,57;12;29.57
2018;Semana 14;13,6;14;13.6
2018;Semana 15;8,4;15;8.4
2018;Semana 16;3,93;16;3.93
2018;Semana 17;2,78;17;2.78
2018;Semana 18;3,04;18;3.04
2018;Semana 19;2,93;19;2.93
2018;Semana 20;2,12;20;2.12
2018;Semana 40;6,5;40;6.5
2018;Semana 41;5,29;41;5.29
2018;Semana 42;7,86;42;7.86
2018;Semana 43;10,53;43;10.53
2018;Semana 44;9,75;44;9.75
2018;Semana 45;15,95;45;15.95
2018;Semana 46;16,43;46;16.43
2018;Semana 47;16,12;47;16.12
2018;Semana 48;15,49;48;15.49
2018;Semana 49;20,43;49;20.43
2018;Semana 50;29,78;50;29.78
2018;Semana 51;43,56;51;43.56
2018;Semana 52;35,82;52;35.82
2019;Semana 1;47,58;1;47.58
2019;Semana 2;109,35;2;109.35
2019;Semana 3;205,3;3;205.3
2019;Semana 4;241,3;4;241.3
2019;Semana 5;246,9;5;246.9
2019;Semana 6;206,2;6;206.2
2019;Semana 7;158,1;7;158.1
2019;Semana 8;110,5;8;110.5
2019;Semana 9;74,5;9;74.5
2019;Semana 10;41,7;10;41.7
2019;Semana 11;27,7;11;27.7
2019;Semana 12;21;12;21.0
2019;Semana 13;8,4;13;8.4
2019;Semana 14;9,6;14;9.6
2019;Semana 15;6,9;15;6.9
2019;Semana 16;1,5;16;1.5
2019;Semana 17;2,5;17;2.5
2019;Semana 18;2,6;18;2.6
2019;Semana 19;2,2;19;2.2
2019;Semana 20;1,4;20;1.4
2019;Semana 40;5,1;40;5.1
2019;Semana 41;6,8;41;6.8
2019;Semana 42;7,2;42;7.2
2019;Semana 43;8,3;43;8.3
2019;Semana 44;10,6;44;10.6
2019;Semana 45;12,2;45;12.2
2019;Semana 46;14,96;46;14.96
2019;Semana 47;21,8;47;21.8
2019;Semana 48;18,5;48;18.5
2019;Semana 49;20,7;49;20.7
2019;Semana 50;29,7;50;29.7
2019;Semana 51;37;51;37.0
2019;Semana 52;37;52;37.0
2020;Semana 1;54,6;1;54.6
2020;Semana 2;105,9;2;105.9
2020;Semana 3;203,1;3;203.1
2020;Semana 4;255,6;4;255.6
2020;Semana 5;271,4;5;271.4
2020;Semana 6;223,3;6;223.3
2020;Semana 7;163,1;7;163.1
2020;Semana 8;97,8;8;97.8
2020;Semana 9;78,9;9;78.9
2020;Semana 10;68,6;10;68.6
2020;Semana 11;45,5;11;45.5
2020;Semana 12;6,7;12;6.7
2020;Semana 13;1,5;13;1.5
2020;Semana 14;0,7;14;0.7
2020;Semana 15;1,1;15;1.1
2020;Semana 16;1,3;16;1.3
2020;Semana 17;0,35;17;0.35
2020;Semana 18;0,45;18;0.45
2020;Semana 19;0;19;0.0
2020;Semana 20;0;20;0.0
2020;Semana 45;0;45;0.0
2020;Semana 46;0;46;0.0
2020;Semana 47;0;47;0.0
2020;Semana 48;0;48;0.0
2020;Semana 49;0;49;0.0
2020;Semana 50;0;50;0.0
2020;Semana 51;0;51;0.0
2020;Semana 52;0;52;0.0
2020;Semana 53;0;53;0.0
2021;Semana 1;0;1;0.0
2021;Semana 2;0;2;0.0
2021;Semana 3;0;3;0.0
2021;Semana 4;0;4;0.0
