Serie mensual;001-102  I-XXII.Todas las causas;00A COVID-19. Virus identificado;00B COVID-19. Virus no identificado (sospechoso);062-067  X.Enfermedades del sistema respiratorio;062  Influenza (gripe) (incluye gripe aviar y gripe A);063  Neumonía;064  Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);065  Asma;066  Insuficiencia respiratoria;067  Otras enfermedades del sistema respiratorio
1990M10;25741.0;0.0;0.0;2159.0;15.0;453.0;886.0;63.0;105.0;637.0
1990M11;26710.0;0.0;0.0;2456.0;26.0;545.0;1020.0;89.0;124.0;652.0
1990M12;32838.0;0.0;0.0;3338.0;45.0;647.0;1389.0;110.0;204.0;943.0
1991M01;32331.0;0.0;0.0;3563.0;68.0;678.0;1608.0;115.0;164.0;930.0
1991M02;30888.0;0.0;0.0;3685.0;96.0;691.0;1606.0;118.0;198.0;976.0
1991M03;30995.0;0.0;0.0;3504.0;104.0;665.0;1575.0;110.0;144.0;906.0
1991M04;27321.0;0.0;0.0;2796.0;25.0;524.0;1247.0;95.0;127.0;778.0
1991M05;27570.0;0.0;0.0;2561.0;10.0;472.0;1105.0;93.0;116.0;765.0
1991M06;25130.0;0.0;0.0;2119.0;6.0;430.0;927.0;67.0;94.0;595.0
1991M07;27716.0;0.0;0.0;2318.0;0.0;500.0;948.0;50.0;123.0;697.0
1991M08;26545.0;0.0;0.0;2290.0;3.0;516.0;922.0;57.0;127.0;665.0
1991M09;23741.0;0.0;0.0;1889.0;7.0;375.0;791.0;49.0;100.0;567.0
1991M10;27013.0;0.0;0.0;2390.0;20.0;487.0;1002.0;73.0;97.0;711.0
1991M11;27681.0;0.0;0.0;2553.0;25.0;535.0;1084.0;84.0;115.0;710.0
1991M12;30760.0;0.0;0.0;3326.0;78.0;660.0;1404.0;88.0;171.0;925.0
1992M01;35324.0;0.0;0.0;4533.0;107.0;911.0;2020.0;128.0;193.0;1174.0
1992M02;30351.0;0.0;0.0;3554.0;51.0;740.0;1591.0;109.0;160.0;903.0
1992M03;29175.0;0.0;0.0;2994.0;18.0;596.0;1369.0;87.0;138.0;786.0
1992M04;27123.0;0.0;0.0;2702.0;19.0;548.0;1183.0;83.0;129.0;740.0
1992M05;26214.0;0.0;0.0;2383.0;16.0;486.0;1041.0;72.0;115.0;653.0
1992M06;24339.0;0.0;0.0;1935.0;10.0;373.0;829.0;66.0;78.0;579.0
1992M07;26827.0;0.0;0.0;2256.0;4.0;486.0;915.0;67.0;104.0;680.0
1992M08;26364.0;0.0;0.0;2129.0;2.0;547.0;819.0;59.0;118.0;584.0
1992M09;23512.0;0.0;0.0;1730.0;1.0;353.0;705.0;68.0;89.0;514.0
1992M10;27181.0;0.0;0.0;2279.0;17.0;486.0;934.0;68.0;108.0;666.0
1992M11;26302.0;0.0;0.0;2238.0;9.0;508.0;950.0;80.0;110.0;581.0
1992M12;28803.0;0.0;0.0;2559.0;17.0;482.0;1101.0;90.0;152.0;717.0
1993M01;32609.0;0.0;0.0;3536.0;57.0;795.0;1497.0;97.0;181.0;909.0
1993M02;29599.0;0.0;0.0;3535.0;82.0;710.0;1543.0;91.0;166.0;943.0
1993M03;33489.0;0.0;0.0;4280.0;128.0;822.0;1915.0;129.0;197.0;1089.0
1993M04;27840.0;0.0;0.0;2903.0;42.0;555.0;1296.0;101.0;164.0;745.0
1993M05;26546.0;0.0;0.0;2389.0;9.0;473.0;1083.0;67.0;119.0;638.0
