Comunidad Autónoma y Provincia;Tipo de índice;años;Total
Balears,Illes;Promedio de estancias/enfermo;1992;9,10
Balears,Illes;Promedio de estancias/enfermo;1991;9,20
Andalucía;Promedio de estancias/enfermo;2000;..
Andalucía;Promedio de estancias/enfermo;1999;..
Andalucía;Promedio de estancias/enfermo;1998;..
Andalucía;Promedio de estancias/enfermo;1997;8,04
Andalucía;Promedio de estancias/enfermo;1996;8,34
Andalucía;Promedio de estancias/enfermo;1995;8,74
Andalucía;Promedio de estancias/enfermo;1994;8,41
Andalucía;Promedio de estancias/enfermo;1993;8,56
Andalucía;Promedio de estancias/enfermo;1992;9,18
Andalucía;Promedio de estancias/enfermo;1991;9,66
Murcia, Región de;Promedio de estancias/enfermo;2000;..
Murcia, Región de;Promedio de estancias/enfermo;1999;..
Murcia, Región de;Promedio de estancias/enfermo;1998;..
Murcia, Región de;Promedio de estancias/enfermo;1997;8,82
Murcia, Región de;Promedio de estancias/enfermo;1996;8,93
Murcia, Región de;Promedio de estancias/enfermo;1995;9,06
Murcia, Región de;Promedio de estancias/enfermo;1994;8,88
Murcia, Región de;Promedio de estancias/enfermo;1993;8,75
Murcia, Región de;Promedio de estancias/enfermo;1992;8,50
Murcia, Región de;Promedio de estancias/enfermo;1991;9,09
Ceuta;Promedio de estancias/enfermo;2000;..
Ceuta;Promedio de estancias/enfermo;1999;..
Ceuta;Promedio de estancias/enfermo;1998;..
Ceuta;Promedio de estancias/enfermo;1997;5,72
Ceuta;Promedio de estancias/enfermo;1996;5,83
Ceuta;Promedio de estancias/enfermo;1995;5,65
Ceuta;Promedio de estancias/enfermo;1994;6,06
Ceuta;Promedio de estancias/enfermo;1993;6,22
Ceuta;Promedio de estancias/enfermo;1992;7,20
Ceuta;Promedio de estancias/enfermo;1991;5,87
Melilla;Promedio de estancias/enfermo;2000;..
Melilla;Promedio de estancias/enfermo;1999;..
Melilla;Promedio de estancias/enfermo;1998;..
Melilla;Promedio de estancias/enfermo;1997;8,56
Melilla;Promedio de estancias/enfermo;1996;9,14
Melilla;Promedio de estancias/enfermo;1995;8,73
Melilla;Promedio de estancias/enfermo;1994;8,30
Melilla;Promedio de estancias/enfermo;1993;8,10
Melilla;Promedio de estancias/enfermo;1992;8,02
Melilla;Promedio de estancias/enfermo;1991;9,65
Canarias;Promedio de estancias/enfermo;2000;..
Canarias;Promedio de estancias/enfermo;1999;..
Canarias;Promedio de estancias/enfermo;1998;..
Canarias;Promedio de estancias/enfermo;1997;12,73
Canarias;Promedio de estancias/enfermo;1996;13,71
Canarias;Promedio de estancias/enfermo;1995;14,30
Canarias;Promedio de estancias/enfermo;1994;15,50
Canarias;Promedio de estancias/enfermo;1993;16,12
Canarias;Promedio de estancias/enfermo;1992;16,17
Canarias;Promedio de estancias/enfermo;1991;16,62
